Rk,School,G,Wâ–¼,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
122,Georgia,28,17,11,0.607,16.8,10.73,,5,10,,14,3,,1,7,,2108,1938,,68.8,109.4,0.393,0.365,0.559,52.6,49.6,11.4,14.9,0.523,16.4,36.3,0.282
123,Illinois State,30,17,13,0.567,2.04,0.28,,9,10,,11,4,,5,7,,2297,2191,,65.9,115.8,0.308,0.478,0.606,51,54,8.3,4.9,0.579,14,25.2,0.23
124,Jacksonville,29,17,12,0.586,-2.96,-2.89,,11,6,,9,3,,7,8,,2088,2056,,69,103.9,0.281,0.341,0.526,52,51.4,11.5,13.2,0.501,16.4,35.2,0.19
125,Longwood,29,17,12,0.586,-3.2,-4.36,,6,8,,12,3,,4,7,,2283,2132,,70.3,112,0.459,0.337,0.567,51.9,50.3,10.6,6.4,0.524,14.8,32.8,0.333
126,Mount St. Mary's,27,17,10,0.63,-8.29,-6.87,,10,6,,8,4,,9,6,,1931,1932,,68.6,102.4,0.339,0.403,0.546,52.6,60.5,9.4,8.5,0.51,18.8,32.1,0.248
127,Nebraska,28,17,11,0.607,13.95,10.48,,7,10,,10,4,,5,6,,2090,1993,,69.1,107,0.36,0.388,0.558,49.5,53.6,10.4,9.6,0.517,14.9,26.3,0.272
128,Oklahoma,27,17,10,0.63,14.2,9.94,,4,10,,11,4,,1,6,,2099,1984,,69.8,111.4,0.395,0.421,0.588,48.7,52.5,11.6,7.6,0.543,15.8,27.5,0.311
129,Princeton,26,17,9,0.654,-2.41,-2.2,,6,5,,8,4,,6,3,,1914,1862,,68.7,107.2,0.249,0.477,0.54,50.5,56.4,10.9,6.2,0.515,13.4,28.5,0.177
130,Quinnipiac,27,17,10,0.63,-4.7,-6.85,,13,3,,10,2,,7,8,,2003,1923,,71.9,102.8,0.307,0.379,0.522,54.3,52.2,12.2,13.1,0.482,15.5,33.7,0.233
131,Radford,29,17,12,0.586,-2.83,-2.71,,7,7,,9,3,,6,9,,2155,2053,,65.6,112.8,0.399,0.371,0.564,53.6,46.8,8.8,9.8,0.521,14.9,35,0.3
132,Rhode Island,26,17,9,0.654,3.02,-0.38,,6,8,,13,2,,1,7,,2023,1906,,71,108,0.441,0.373,0.565,51.5,53.6,8.2,9,0.529,15.8,28.6,0.308
133,Saint Joseph's,27,17,10,0.63,8.43,1.24,,8,6,,11,4,,3,5,,2020,1826,,68.4,108.8,0.304,0.461,0.559,52,57.6,9.4,13.9,0.526,14.9,29.3,0.229
134,South Dakota,29,17,12,0.586,-5.4,-3.44,,8,6,,13,2,,4,10,,2482,2418,,74.4,115.1,0.441,0.386,0.557,47.5,41.7,10.4,9.1,0.517,11.2,31.6,0.313
135,Stanford,27,17,10,0.63,8.63,5.82,,9,7,,14,2,,3,6,,2005,1929,,67.8,109.5,0.319,0.412,0.544,51.4,54.1,10.3,9.3,0.501,13.4,31.6,0.25
136,Texas A&M-Corpus Christi,30,17,13,0.567,-1.87,-2.41,,10,8,,13,2,,4,11,,2288,2061,,69.3,110.1,0.362,0.285,0.554,52.5,52,11.5,10.5,0.535,14.9,33.8,0.229
137,UTEP,27,17,10,0.63,0.82,0.57,,7,7,,11,3,,4,6,,1960,1868,,69.4,104.6,0.37,0.362,0.551,45.8,54.7,15.2,9.8,0.518,15.5,24.9,0.261
138,Vermont,28,17,11,0.607,-7.5,-6.2,,10,3,,11,2,,5,8,,1864,1791,,64.7,103,0.3,0.43,0.533,50.1,51.4,9.6,12.3,0.501,15.1,26.7,0.217
139,West Virginia,28,17,11,0.607,16.44,11.94,,8,9,,12,4,,3,6,,1922,1796,,65.1,103.6,0.26,0.463,0.533,47.7,56.8,11.6,12.1,0.504,14.1,25.5,0.19
140,Wichita State,27,17,10,0.63,3.45,1.91,,7,7,,11,4,,4,5,,2020,1965,,69.4,106.7,0.35,0.282,0.536,52.6,45.6,9.9,11.6,0.496,14.2,32.1,0.257
141,William & Mary,29,17,12,0.586,-4.55,-3.77,,11,5,,12,1,,4,10,,2268,2187,,71,110.1,0.343,0.521,0.576,49.4,63.1,9.9,4.9,0.546,15.5,27.3,0.249
142,Arkansas,27,16,11,0.593,17.35,10.72,,5,9,,12,4,,3,5,,2054,1875,,70.2,108.4,0.334,0.366,0.561,50.2,53.2,11.2,16,0.529,14.4,27.3,0.243
143,Army,29,16,13,0.552,-10.85,-7.14,,10,7,,12,3,,4,10,,2146,2154,,67.4,107,0.251,0.424,0.537,49.2,52.8,9.5,6.6,0.516,13,27.9,0.172
144,Baylor,28,16,12,0.571,19.42,13.27,,8,9,,12,2,,2,9,,2186,1966,,66.6,114.6,0.304,0.399,0.56,52.5,54.5,11.3,9.1,0.526,13.9,35.9,0.229
145,Davidson,28,16,12,0.571,2.76,0.58,,6,9,,11,5,,4,5,,2060,1960,,66.5,110.6,0.297,0.413,0.56,50.2,57.5,8.7,6.8,0.529,12.6,25.7,0.22
146,East Carolina,28,16,12,0.571,0.67,-0.6,,8,7,,10,6,,4,5,,2151,2054,,68,110.5,0.37,0.349,0.534,52.4,48.9,11.1,11.9,0.495,13.3,36,0.265
147,Florida State,28,16,12,0.571,9.34,5.8,,7,10,,10,5,,2,7,,2123,2024,,70.7,106.8,0.403,0.339,0.552,49.7,50.9,11.2,14.4,0.514,15.3,29.8,0.288
148,Georgetown,27,16,11,0.593,9.46,4.72,,7,9,,13,4,,3,7,,1934,1806,,68.6,104.5,0.252,0.363,0.53,51.7,54.1,12.1,12,0.504,15.4,32.8,0.179
149,Hampton,29,16,13,0.552,-4.52,-3.63,,8,8,,10,4,,4,7,,2132,2037,,67.4,108.6,0.305,0.373,0.527,52.8,47.7,11.4,9.1,0.492,13.7,35.3,0.221
150,Illinois-Chicago,28,16,12,0.571,0.98,0.98,,9,9,,8,5,,7,5,,2178,2072,,69.3,110.3,0.349,0.395,0.565,52.2,57.1,9.7,8,0.532,14.9,31.1,0.252
151,Indiana,27,16,11,0.593,14.47,11.54,,7,9,,12,4,,3,5,,2039,1960,,69.3,108.5,0.338,0.333,0.548,52,56.7,8.5,9.1,0.515,14.6,31.7,0.243
152,Kennesaw State,28,16,12,0.571,0.97,1.17,,8,7,,12,3,,3,7,,2147,2033,,72.1,105.4,0.363,0.459,0.533,54.5,50.1,9.3,11.4,0.496,16.2,35.4,0.257
153,Loyola Marymount,29,16,13,0.552,1,3.14,,8,9,,11,5,,3,8,,2047,2064,,68.6,102.9,0.279,0.407,0.532,47.2,50.7,8.2,10.2,0.503,13.6,23.3,0.2
154,Maine,28,16,12,0.571,-5.72,-7.84,,8,5,,8,2,,6,10,,2005,1847,,67.1,106.2,0.272,0.341,0.558,46.9,57.2,13.6,9.6,0.528,14.4,23.9,0.204
155,Massachusetts-Lowell,28,16,12,0.571,-7.71,-7.03,,5,8,,13,3,,3,9,,2252,2096,,70.6,112.9,0.364,0.346,0.591,51.5,53.1,8.1,10.5,0.553,15.3,27.8,0.282
156,Nevada,28,16,12,0.571,11.18,5.22,,8,9,,11,5,,3,6,,2058,1891,,64.8,112.5,0.379,0.37,0.581,51.4,59.9,10,11.9,0.554,14.3,28.5,0.263
157,Northern Arizona,29,16,13,0.552,-6.16,-5.6,,7,9,,10,4,,6,8,,2217,2061,,68.1,112.2,0.296,0.383,0.541,54.6,54.8,9,4.8,0.519,12.4,33.7,0.197
158,Pittsburgh,28,16,12,0.571,14.38,8.85,,7,10,,12,4,,3,7,,2150,1995,,66.9,113.8,0.346,0.408,0.57,49.4,51,10.7,13.2,0.528,12.7,28.8,0.271
159,Portland State,28,16,12,0.571,-4.09,-4.57,,8,7,,10,1,,5,10,,2141,1963,,70.4,108.6,0.321,0.311,0.551,52.4,50.9,12.2,14.2,0.533,15.7,34.4,0.203
160,Saint Louis,28,16,12,0.571,3.64,2.4,,9,6,,12,3,,4,7,,2047,1943,,68.5,106.2,0.305,0.496,0.574,50.6,57.6,9.1,8.5,0.554,16.8,24.4,0.207
161,Texas,27,16,11,0.593,16.63,8.11,,5,9,,11,5,,3,5,,2115,1885,,68.4,114.5,0.36,0.356,0.569,51,48.7,9.5,12.1,0.531,12.4,30.3,0.27
162,Toledo,28,16,12,0.571,-5.87,-2.5,,9,6,,8,3,,6,8,,2166,2195,,69.5,111.3,0.343,0.291,0.543,49.5,47.7,7.6,7.4,0.505,11.7,30.3,0.252
163,Villanova,28,16,12,0.571,14.22,7.57,,9,8,,13,3,,2,7,,2086,1900,,63.7,116.9,0.27,0.434,0.588,52.5,49.5,9.3,7.8,0.554,13.6,31.3,0.219
164,Washington State,29,16,13,0.552,5.19,5.36,,6,10,,9,4,,3,7,,2249,2254,,70.9,108.9,0.324,0.418,0.587,50.3,58,8.8,13.4,0.562,18.2,31.4,0.23
165,Binghamton,29,15,14,0.517,-11.9,-8.25,,7,7,,9,3,,5,10,,2042,2064,,66.9,103.9,0.334,0.366,0.56,52.5,53.1,6.9,8.1,0.533,17.8,27.7,0.23
166,Bucknell,29,15,14,0.517,-4.63,-5.15,,11,5,,11,3,,4,10,,2126,2111,,67.6,103.6,0.364,0.42,0.557,49.4,52.4,9.5,9,0.533,17,25.6,0.24
167,Campbell,29,15,14,0.517,-3.14,-4.81,,10,6,,8,5,,7,9,,2059,1924,,66.4,106.4,0.312,0.417,0.549,48.6,54.9,10.4,8.9,0.51,13.9,25.1,0.242
168,Drexel,29,15,14,0.517,-3.76,-5.23,,7,9,,6,6,,7,7,,2031,1938,,64.5,106.3,0.236,0.376,0.543,53.2,49.2,7.7,11.9,0.523,16.3,33.3,0.162
169,Florida Atlantic,27,15,12,0.556,4.35,2.35,,8,6,,7,4,,5,6,,2167,2065,,70.8,111.9,0.321,0.41,0.563,50,57,9.8,10.2,0.538,13.8,30.6,0.223
170,Georgia Southern,30,15,15,0.5,-7.29,-4.81,,7,10,,10,3,,4,11,,2224,2286,,70.1,103.9,0.27,0.444,0.525,49.4,50.3,11,10.9,0.503,16.2,32.8,0.179
171,Incarnate Word,29,15,14,0.517,-5.97,-5.13,,8,10,,11,5,,3,9,,2134,1992,,65.5,112.3,0.266,0.366,0.56,53,45.2,10.2,10.6,0.54,14.9,35.3,0.18
172,Iowa,28,15,13,0.536,12.61,9.04,,6,11,,12,5,,1,7,,2327,2227,,72,114.9,0.268,0.411,0.587,46.5,59.6,9.6,11.2,0.568,12.6,25.3,0.189
173,Merrimack,28,15,13,0.536,-4.58,-5.19,,12,5,,7,4,,8,8,,1819,1802,,64.8,99.9,0.254,0.427,0.519,41.6,49.5,13.8,10.6,0.489,13,21.2,0.183
174,Murray State,30,15,15,0.5,0.96,0.61,,9,10,,7,5,,6,7,,2175,2089,,65.8,107.5,0.421,0.398,0.549,50.9,47.8,9.9,8.3,0.507,14.7,29.2,0.303
175,Nevada-Las Vegas,28,15,13,0.536,6.61,5.4,,9,8,,10,5,,5,6,,1950,1916,,66.2,105.2,0.343,0.337,0.538,48.3,48.6,10.3,11.6,0.503,14.1,26.8,0.244
176,New Mexico State,27,15,12,0.556,0.9,0.98,,8,6,,8,5,,7,5,,1885,1781,,67.6,102.8,0.328,0.382,0.512,52.4,48,9.5,7,0.48,14.4,32.7,0.223
177,North Florida,30,15,15,0.5,-7.09,-2.95,,8,9,,8,5,,7,10,,2501,2536,,73.5,112.1,0.248,0.54,0.557,47,55.6,8.7,7.3,0.538,12.9,28.9,0.169
178,Northeastern,29,15,14,0.517,-4.35,-4.46,,7,9,,7,5,,6,8,,2039,2036,,67.2,104.7,0.28,0.349,0.538,50.5,49.5,10.8,12.9,0.512,16.1,31.3,0.195
179,Northwestern,28,15,13,0.536,14.32,10.28,,6,11,,11,4,,2,8,,2057,1944,,66.3,108.9,0.303,0.337,0.535,50.4,54.3,10.9,10.4,0.501,12.5,32,0.222
180,Ohio,28,15,13,0.536,-1.31,-3.83,,9,6,,11,2,,3,9,,2233,2114,,71.8,110.6,0.329,0.413,0.577,48.5,51.5,10.3,7.9,0.542,13.7,24.3,0.25
181,Ohio State,28,15,13,0.536,19.02,12.77,,7,10,,10,6,,3,6,,2189,2014,,68.8,111.7,0.345,0.369,0.569,50,47.2,9.2,10.3,0.534,13.8,28.8,0.258
182,Penn State,28,15,13,0.536,13.2,6.77,,5,12,,11,5,,2,7,,2224,2044,,71,111.9,0.382,0.363,0.578,50.2,57.8,11.6,10.9,0.538,15.1,29.6,0.29
183,South Carolina State,27,15,12,0.556,-4.9,-8.19,,8,3,,7,2,,7,10,,2146,1900,,71.6,110,0.435,0.337,0.566,52.8,55,13.1,9,0.532,17,36.2,0.301
184,TCU,28,15,13,0.536,11.21,12.04,,8,9,,13,2,,2,8,,1892,1915,,67,100.5,0.332,0.35,0.503,50.5,50.3,10.9,9.9,0.474,14.8,32,0.217
185,Tennessee Tech,29,15,14,0.517,-10.01,-7.04,,10,8,,9,3,,5,10,,2098,2143,,69,104,0.294,0.463,0.542,47.1,60.2,8.9,6.3,0.516,14.8,24.2,0.205
186,Texas State,30,15,15,0.5,-3.2,-3.16,,8,9,,9,4,,4,10,,2276,2189,,67.4,110.7,0.363,0.284,0.557,53.2,54.3,10.2,11,0.515,15.4,35.7,0.276
187,Tulane,27,15,12,0.556,1.25,-1.23,,9,5,,12,3,,3,6,,2007,1868,,68.1,108.6,0.366,0.405,0.554,49.6,57.2,10.4,14,0.512,14,27.9,0.278
188,UC Davis,28,15,13,0.536,-4.98,-1.55,,9,8,,8,4,,7,9,,1913,1929,,68.8,98.9,0.381,0.35,0.519,47.9,47.8,11.6,10.5,0.472,17,29.5,0.281
189,Utah,27,15,12,0.556,11.98,7.61,,7,9,,14,3,,1,7,,2029,1911,,68.9,108.6,0.365,0.436,0.546,53.3,67.3,9.3,10.9,0.526,15.4,34,0.23
190,Western Kentucky,27,15,12,0.556,1.4,1.84,,6,8,,12,4,,3,8,,2070,2033,,73.6,103.6,0.302,0.398,0.532,48,45.4,11.3,8.2,0.497,13.6,23.9,0.222
191,Wofford,29,15,14,0.517,-1.15,-2.22,,9,7,,7,5,,7,8,,2147,2019,,65.5,112.1,0.285,0.475,0.548,55.3,57.1,9.2,8.7,0.529,14.4,36.8,0.185
192,Abilene Christian,27,14,13,0.519,-5.2,-1.95,,6,6,,9,4,,4,9,,1933,1901,,70.9,100.5,0.378,0.265,0.533,50.2,49.8,15.2,8.2,0.494,17.7,31.3,0.268
193,Albany (NY),28,14,14,0.5,-9.62,-7.7,,6,7,,6,7,,6,6,,2081,2068,,68.9,106.4,0.296,0.35,0.528,50.2,44.8,12.1,5.2,0.495,13.4,32.3,0.215
194,Ball State,28,14,14,0.5,-7.08,-6.4,,7,8,,8,6,,4,7,,2151,2091,,69.1,110.2,0.487,0.374,0.568,51.1,52.7,7.4,5.3,0.529,14.8,28.1,0.342
195,Boston University,29,14,15,0.483,-10.86,-7.79,,8,8,,11,3,,2,12,,1925,1973,,63.9,102.1,0.302,0.433,0.529,54.1,51.2,9.2,8.5,0.508,17.6,32.7,0.195
196,Cornell,24,14,10,0.583,-1.55,-3.23,,6,5,,6,5,,8,5,,2004,1874,,72.2,115.7,0.285,0.48,0.602,50.7,62.4,8.8,8.4,0.577,15.4,29.3,0.214
197,Delaware State,26,14,12,0.538,-10.98,-7.07,,6,5,,9,2,,3,10,,2044,1916,,72,108.2,0.326,0.223,0.535,52.3,49.3,11.5,7.3,0.499,14.5,35.6,0.236
198,Eastern Michigan,28,14,14,0.5,-10.15,-5.63,,7,8,,8,5,,5,9,,2043,2140,,68.3,105.9,0.343,0.379,0.556,49.2,49.6,10.1,9.7,0.523,16.6,29.9,0.248
199,Georgia Tech,28,14,14,0.5,6.55,5.87,,8,9,,12,5,,2,8,,2066,2047,,69.3,104.6,0.326,0.366,0.532,50.7,55.5,8.5,10.1,0.504,15,29.6,0.221
200,Hawaii,27,14,13,0.519,-2.51,-0.31,,6,10,,12,6,,2,7,,1882,1898,,66.4,104,0.402,0.378,0.551,54.5,48.4,5.6,6.5,0.51,17.7,32,0.293
201,Lindenwood,30,14,16,0.467,-13.09,-6.68,,9,10,,11,3,,2,12,,2144,2146,,70.6,99.6,0.359,0.349,0.51,49.4,44.6,11.6,10.5,0.477,15.5,30.4,0.24
202,Long Island University,29,14,15,0.483,-11.21,-8.58,,10,4,,8,4,,6,9,,1965,1926,,65.7,100.9,0.268,0.341,0.517,51.8,48.2,12.3,11,0.488,16.7,32.8,0.19
203,Louisiana State,28,14,14,0.5,12.22,8.87,,3,12,,11,6,,2,6,,2116,2022,,69.5,107.4,0.327,0.428,0.553,49.1,49.7,10.1,12,0.52,16.1,30.6,0.237
204,Mercyhurst,30,14,16,0.467,-15.56,-8.56,,8,7,,10,2,,4,14,,2015,2099,,65.4,101.4,0.31,0.355,0.532,44.4,56.8,11.3,6.9,0.486,14.6,23.7,0.248
205,Minnesota,28,14,14,0.5,8.58,9.73,,6,11,,10,8,,4,4,,1913,1945,,63.7,105.4,0.32,0.362,0.528,49.4,62.3,9.5,13.3,0.501,14.2,30,0.214
206,Morehead State,29,14,15,0.483,-13.53,-6.87,,9,9,,9,5,,5,9,,1937,2015,,66,100.7,0.371,0.342,0.509,53.9,50.2,8.4,7.1,0.474,15.4,32.5,0.249
207,Northern Kentucky,29,14,15,0.483,-5.8,-2.68,,9,9,,10,6,,4,9,,2042,2081,,67,103.3,0.317,0.401,0.524,48.7,55.4,11.7,9.7,0.499,15.2,31.3,0.207
208,Oklahoma State,28,14,14,0.5,6.91,10.27,,6,11,,11,3,,2,8,,2046,2140,,71.4,102.3,0.427,0.361,0.531,51,52.3,12.4,8.5,0.484,16.3,31.7,0.309
209,Rutgers,28,14,14,0.5,11.02,10.52,,7,10,,10,5,,3,6,,2148,2134,,69.6,109.3,0.37,0.362,0.546,49.8,48.7,9.9,10.3,0.509,13.6,31.1,0.267
210,Southern California,27,14,13,0.519,12.71,10.3,,6,10,,11,6,,3,5,,2071,2006,,69.5,110.4,0.363,0.336,0.578,49,56,8.8,8.4,0.544,15,26.9,0.266
211,Stephen F. Austin,29,14,15,0.483,-6.83,-3.87,,7,11,,8,6,,6,9,,1931,1929,,67.9,96.8,0.332,0.357,0.504,52,50.8,12.4,11.6,0.479,19.3,36.8,0.209
212,Stonehill,29,14,15,0.483,-11.8,-8.65,,6,8,,10,3,,3,11,,1988,2010,,66.1,103.7,0.311,0.451,0.547,49.5,61.9,9.8,7.4,0.515,16,26.9,0.225
213,Temple,28,14,14,0.5,0.32,0.43,,6,9,,10,2,,2,9,,2229,2203,,70.1,110.6,0.434,0.317,0.553,50.1,40.7,9.4,9.7,0.507,13.5,31.7,0.322
214,Tennessee State,29,14,15,0.483,-8.22,-8.03,,10,8,,10,3,,4,10,,2301,2168,,72.5,106.7,0.399,0.345,0.549,54.6,48.8,9.7,9.9,0.518,17.9,37.3,0.271
215,Texas-Rio Grande Valley,29,14,15,0.483,-5.89,-2.57,,6,12,,10,4,,2,11,,2213,2140,,71.5,106.7,0.223,0.507,0.544,50.4,60.6,10.5,7,0.524,16.1,31.7,0.156
216,UCF,27,14,13,0.519,10.04,11.41,,5,11,,11,5,,2,6,,2130,2167,,72.6,107.2,0.358,0.404,0.537,48.4,53.1,10.5,10.6,0.49,14.2,31.9,0.278
217,Wagner,27,14,13,0.519,-15.22,-10.05,,6,8,,8,5,,6,8,,1724,1645,,62,101.6,0.299,0.375,0.511,53.9,57.2,11.3,5.8,0.478,15.9,32.8,0.213
218,Alabama State,28,13,15,0.464,-10.84,-8.02,,9,6,,7,3,,4,10,,2070,2095,,70,105.1,0.306,0.431,0.505,47.1,44.5,10.7,8.1,0.474,11,28.6,0.209
219,Arizona State,27,13,14,0.481,12.91,12.87,,4,12,,5,7,,3,6,,1989,1988,,69.9,103.9,0.353,0.443,0.553,48.4,53.2,8.2,12.9,0.519,16.6,25.9,0.253
220,Austin Peay,30,13,17,0.433,-8.74,-2.7,,8,9,,8,5,,4,11,,2138,2240,,67,105.1,0.293,0.419,0.522,46.5,49.6,10.5,7,0.49,12.7,27.1,0.209
221,Bethune-Cookman,28,13,15,0.464,-9.49,-5.45,,10,5,,5,2,,7,12,,1922,2035,,69.8,98.4,0.357,0.339,0.522,49.7,50.6,9.3,10.4,0.487,17.6,28.7,0.247
222,Brown,24,13,11,0.542,-4.2,-4.12,,5,6,,8,5,,5,6,,1772,1733,,67.5,107.8,0.282,0.416,0.548,50.1,56.4,8.6,14.1,0.53,14.7,30.4,0.181
223,Butler,27,13,14,0.481,11.28,9.13,,6,10,,9,6,,2,7,,2013,1955,,67.4,110.1,0.41,0.401,0.577,51.5,57.3,5.4,7,0.539,15.2,27,0.301
224,California Baptist,26,13,13,0.5,0.51,-1.11,,6,6,,9,5,,3,7,,1912,1870,,68.3,106.1,0.297,0.345,0.528,51.3,46.1,9.7,6.9,0.49,14.4,33.3,0.224
225,Central Michigan,28,13,15,0.464,-2.98,-1.52,,6,9,,8,5,,5,9,,2118,2003,,70,108.1,0.351,0.346,0.555,53,51.2,10.5,8.6,0.52,15.3,32.2,0.254
226,Dartmouth,24,13,11,0.542,-4.46,-5.69,,7,4,,8,3,,5,8,,1892,1730,,72,108.9,0.307,0.477,0.562,51.2,59.8,7.3,7.7,0.531,14.1,25,0.227
227,Georgia State,29,13,16,0.448,-7.06,-1.95,,8,8,,9,6,,3,9,,2174,2277,,70.1,106.4,0.321,0.343,0.534,51.5,45.2,7.7,7.5,0.506,14.8,33.2,0.22
228,Hofstra,29,13,16,0.448,-4.62,-2.06,,5,11,,5,7,,5,8,,1939,1913,,65.3,100.7,0.27,0.429,0.532,49.2,56.3,8.8,11.8,0.502,15.5,24.1,0.196
229,Holy Cross,29,13,16,0.448,-11.68,-6.76,,5,11,,7,5,,4,11,,2005,2063,,65.9,104.1,0.219,0.418,0.555,49.3,48.3,7.1,7.5,0.534,15.9,23.9,0.157
230,Idaho State,26,13,13,0.5,-3.21,-3.08,,8,7,,10,3,,3,10,,1944,1818,,66.9,111.2,0.343,0.384,0.538,56.7,53,9.1,13.7,0.499,13.7,39.8,0.253
231,Indiana State,30,13,17,0.433,-3.65,-0.36,,7,12,,7,6,,4,9,,2383,2382,,72.3,108.5,0.342,0.496,0.581,50.6,56.9,9.6,6.2,0.545,17.2,27.2,0.259
232,Kansas State,27,13,14,0.481,11.37,9.33,,7,9,,9,5,,2,8,,1958,1903,,68.1,106,0.275,0.41,0.541,48.7,59.7,11.2,9.6,0.519,15.4,29.9,0.186
233,Manhattan,25,13,12,0.52,-7.88,-7.55,,8,8,,7,5,,6,7,,1885,1876,,67.5,108.9,0.312,0.412,0.543,50.2,56.8,9.8,6.9,0.506,14.9,32.9,0.236
234,Maryland-Baltimore County,29,13,16,0.448,-10.65,-7.88,,5,9,,8,7,,5,9,,2342,2280,,72,110.3,0.317,0.388,0.585,46,50.9,10.4,6.8,0.563,14.6,22.4,0.22
235,Northwestern State,28,13,15,0.464,-5.46,-1.08,,10,8,,7,5,,6,10,,1882,1945,,65.3,102,0.329,0.354,0.525,50.7,54,10.1,12.8,0.49,17.1,33.4,0.233
236,Oakland,29,13,16,0.448,-3.11,-0.11,,10,8,,8,4,,4,10,,2005,2066,,64.3,105.8,0.304,0.43,0.521,51,47.7,10.2,8.9,0.49,15.1,35.3,0.213
237,Rice,28,13,15,0.464,-0.47,-2.25,,4,11,,7,7,,4,6,,2001,1954,,65.8,107.6,0.441,0.395,0.534,52.8,50.6,7.2,8.8,0.495,15.1,33.9,0.302
238,San Jose State,30,13,17,0.433,0.75,4.5,,6,12,,6,8,,3,8,,2189,2220,,66.9,107.7,0.308,0.405,0.55,48.8,50.6,8.5,8.1,0.518,14.2,28.4,0.226
239,Siena,28,13,15,0.464,-6.07,-6.79,,8,9,,8,5,,4,8,,2022,2002,,67.5,105.2,0.381,0.401,0.543,48.8,47.7,10.3,13.2,0.501,15.5,28.6,0.281
240,South Florida,28,13,15,0.464,-1.66,-0.48,,6,9,,9,5,,2,8,,2111,2086,,69.9,106.9,0.345,0.383,0.547,47.9,55.6,11.4,9.5,0.512,14.3,28.4,0.25
241,Southern Illinois,30,13,17,0.433,-1.16,1.27,,8,11,,7,8,,5,6,,2189,2208,,68.4,105.8,0.339,0.334,0.547,52,53.7,9.1,8.6,0.519,16,30.8,0.232
242,Texas Southern,28,13,15,0.464,-9.76,-7.08,,10,5,,9,4,,4,11,,2039,2029,,71.8,100.5,0.29,0.348,0.516,49,52.8,12.2,10.1,0.482,16.1,30.3,0.212
